Epoch 316, Loss: 0.6658, Accuracy: 0.6075, lr: 0.0
Epoch 317, Loss: 0.6656, Accuracy: 0.6075, lr: 0.0
Epoch 318, Loss: 0.6661, Accuracy: 0.6075, lr: 0.0
Epoch 319, Loss: 0.6646, Accuracy: 0.6075, lr: 0.0
Epoch 320, Loss: 0.6671, Accuracy: 0.6075, lr: 0.0
Epoch 321, Loss: 0.6661, Accuracy: 0.6075, lr: 0.0
Epoch 322, Loss: 0.6647, Accuracy: 0.6075, lr: 0.0
Epoch 323, Loss: 0.6651, Accuracy: 0.6075, lr: 0.0
Epoch 324, Loss: 0.6667, Accuracy: 0.6075, lr: 0.0
Epoch 325, Loss: 0.6653, Accuracy: 0.6075, lr: 0.0
Epoch 326, Loss: 0.6656, Accuracy: 0.6075, lr: 0.0
Epoch 327, Loss: 0.6654, Accuracy: 0.6075, lr: 0.0
Epoch 328, Loss: 0.6650, Accuracy: 0.6075, lr: 0.0
Epoch 329, Loss: 0.6652, Accuracy: 0.6075, lr: 0.0
Epoch 330, Loss: 0.6664, Accuracy: 0.6075, lr: 0.0
Epoch 331, Loss: 0.6656, Accuracy: 0.6075, lr: 0.0
Epoch 332, Loss: 0.6656, Accuracy: 0.6075, lr: 0.0
Epoch 333, Loss: 0.6667, Accuracy: 0.6075, lr: 0.0
Epoch 334, Loss: 0.6650, Accuracy: 0.6075, lr: 0.0
Epoch 335, Loss: 0.6652, Accuracy: 0.6075, lr: 0.0
Epoch 336, Loss: 0.6652, Accuracy: 0.6075, lr: 0.0
Epoch 337, Loss: 0.6646, Accuracy: 0.6075, lr: 0.0
Epoch 338, Loss: 0.6650, Accuracy: 0.6075, lr: 0.0
Epoch 339, Loss: 0.6658, Accuracy: 0.6075, lr: 0.0
Epoch 340, Loss: 0.6649, Accuracy: 0.6075, lr: 0.0
Epoch 341, Loss: 0.6648, Accuracy: 0.6075, lr: 0.0
Epoch 342, Loss: 0.6660, Accuracy: 0.6075, lr: 0.0
Epoch 343, Loss: 0.6643, Accuracy: 0.6075, lr: 0.0
Epoch 344, Loss: 0.6652, Accuracy: 0.6075, lr: 0.0
Epoch 345, Loss: 0.6661, Accuracy: 0.6075, lr: 0.0
Epoch 346, Loss: 0.6649, Accuracy: 0.6075, lr: 0.0
Epoch 347, Loss: 0.6655, Accuracy: 0.6075, lr: 0.0
Epoch 348, Loss: 0.6657, Accuracy: 0.6075, lr: 0.0
Epoch 349, Loss: 0.6655, Accuracy: 0.6075, lr: 0.0
Epoch 350, Loss: 0.6659, Accuracy: 0.6075, lr: 0.0
Epoch 351, Loss: 0.6656, Accuracy: 0.6075, lr: 0.0
Epoch 352, Loss: 0.6651, Accuracy: 0.6075, lr: 0.0
Epoch 353, Loss: 0.6663, Accuracy: 0.6075, lr: 0.0
Epoch 354, Loss: 0.6652, Accuracy: 0.6075, lr: 0.0
Epoch 355, Loss: 0.6659, Accuracy: 0.6075, lr: 0.0
Epoch 356, Loss: 0.6650, Accuracy: 0.6075, lr: 0.0
Epoch 357, Loss: 0.6639, Accuracy: 0.6075, lr: 0.0
